ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV127	0	0	0	0	0	0	382	153	334	64	560	0	380	4570	5568	0	823
ASV128	0	0	0	0	0	0	1189	944	1427	2879	2022	229	0	0	1529	0	1155
ASV129	0	0	0	0	0	0	0	0	0	0	0	5342	0	0	0	843	0
ASV130	1457	1691	1401	815	1546	1190	160	374	0	0	227	0	0	0	0	0	0
ASV131	2382	2364	2821	21	194	479	0	24	0	75	44	129	0	0	0	0	0
ASV132	2917	1065	3638	155	366	224	12	0	0	121	0	0	0	0	0	0	0
ASV133	0	0	0	0	0	0	568	2807	2908	1813	1878	575	0	0	0	0	705
ASV134	78	112	0	48	0	42	258	541	515	970	464	1913	6873	0	306	0	665
ASV135	0	12	0	0	0	0	274	733	334	236	315	468	4074	2700	1436	0	1338
ASV136	0	0	0	0	0	0	1093	1902	2536	162	347	5191	0	0	0	0	0
ASV137	165	150	495	597	276	6038	0	0	0	0	0	0	0	0	0	0	0
ASV138	0	0	0	0	0	0	912	1646	3503	1922	1317	1805	0	0	0	0	0
ASV139	0	0	0	0	0	0	10	0	0	0	0	0	0	5923	1519	155	1991
ASV140	0	0	0	0	0	0	999	936	1921	1388	869	1736	0	536	564	170	505
ASV141	0	0	0	0	0	0	56	13	91	0	19	0	0	4628	211	47	4133
ASV142	1160	1090	757	439	325	3850	145	0	0	0	23	0	0	0	0	0	0
ASV143	1266	1143	1894	2622	1011	140	37	0	0	0	0	0	0	0	0	0	0
ASV144	0	0	0	0	0	0	379	779	1556	3560	3311	582	0	292	0	0	242
ASV145	692	383	189	333	337	63	1028	429	2307	1068	730	1553	0	0	0	39	532
ASV146	0	0	0	0	0	0	408	153	545	1760	1396	78	0	384	1092	276	1915
ASV147	1777	1430	1931	1303	871	514	0	0	0	0	0	0	0	0	0	0	0
ASV148	0	0	0	0	0	0	0	260	1465	2963	5897	0	0	0	0	0	0
ASV149	0	0	0	0	0	0	72	198	133	47	0	0	0	0	415	1192	0
